industry_index,industry_id,industry_name,comparability,coverage,cps_supported,bounds_supported,point_identified,missing_occupation_count,missing_occupations,residual_unpublished_employment,residual_unpublished_mass_share,cps_mass_in_missing_occupations,l1_lower_bound,l1_upper_bound,l1_bound_width,unsupported_reason
1,agriculture-forestry-fishing-and-hunting,"Agriculture, Forestry, Fishing, and Hunting",excluded,0.9995645336881578,True,True,False,4,community-and-social-service-occupations;legal-occupations;arts-design-entertainment-sports-and-media-occupations;healthcare-support-occupations,180.0,0.00043546631184226443,0.00842965048480857,0.6307513845138419,0.6316223171375265,0.0008709326236845394,
2,mining-quarrying-and-oil-and-gas-extraction,"Mining, Quarrying, and Oil and Gas Extraction",primary,0.9998421661814738,True,True,False,2,community-and-social-service-occupations;healthcare-support-occupations,90.0,0.0001578338185261829,0.0,0.2775312732068985,0.2775312732068985,0.0,
3,construction,Construction,primary,0.9999987949455195,True,True,True,0,,0.0,0.0,0.0,0.2772387012212034,0.2772387012212034,0.0,
4,manufacturing,Manufacturing,primary,0.9999992097554113,True,True,True,0,,0.0,0.0,0.0,0.3144837536883402,0.3144837536883402,0.0,
5,wholesale-trade,Wholesale Trade,primary,0.9999966802775287,True,True,True,0,,0.0,0.0,0.0,0.2980375879144468,0.2980375879144468,0.0,
6,retail-trade,Retail Trade,primary,1.0,True,True,True,0,,0.0,0.0,0.0,0.17291453995542466,0.17291453995542466,0.0,
7,transportation-and-warehousing,Transportation and Warehousing,primary,0.9999946298921683,True,True,True,0,,0.0,0.0,0.0,0.24711741339887838,0.24711741339887838,0.0,
8,utilities,Utilities,primary,0.9997658862876254,True,True,False,5,community-and-social-service-occupations;educational-instruction-and-library-occupations;healthcare-support-occupations;food-preparation-and-serving-related-occupations;personal-care-and-service-occupations,140.0,0.00023411371237458194,0.004031218736086135,0.34721866696209447,0.34768689438684364,0.000468227424749168,
9,information,Information,primary,0.9999965273195769,True,True,False,1,farming-fishing-and-forestry-occupations,10.0,3.4726804231113828e-06,0.0,0.40156388839325724,0.40156388839325724,0.0,
10,finance-and-insurance,Finance and Insurance,primary,1.0,True,True,True,0,,0.0,0.0,0.0,0.2777058311436663,0.2777058311436663,0.0,
11,real-estate-and-rental-and-leasing,Real Estate and Rental and Leasing,primary,0.998023023538376,True,True,False,2,healthcare-support-occupations;farming-fishing-and-forestry-occupations,4800.0,0.001976976461624004,0.0005702055906352176,0.6522983039245517,0.6534387151058221,0.0011404111812703954,
12,professional-scientific-and-technical-services,"Professional, Scientific, and Technical Services",primary,1.0,True,True,True,0,,0.0,0.0,0.0,0.22861257448143013,0.22861257448143013,0.0,
13,management-of-companies-and-enterprises,Management of Companies and Enterprises,primary,0.9999964640946492,True,True,True,0,,0.0,0.0,0.0,0.5862893100719345,0.5862893100719345,0.0,
14,administrative-and-support-and-waste-management-services,Administrative and Support and Waste Management Services,primary,0.9980854367014653,True,True,False,1,farming-fishing-and-forestry-occupations,17450.0,0.0019145632985347282,0.004017200381015809,0.532719277012912,0.532719277012912,0.0,
15,educational-services,Educational Services,primary,0.9999992780851932,True,True,True,0,,0.0,0.0,0.0,0.13640060283145303,0.13640060283145303,0.0,
16,health-care-and-social-assistance,Health Care and Social Assistance,primary,1.0,True,True,True,0,,0.0,0.0,0.0,0.23687856147042083,0.23687856147042083,0.0,
17,arts-entertainment-and-recreation,"Arts, Entertainment, and Recreation",primary,1.0,True,True,True,0,,0.0,0.0,0.0,0.4959345181618425,0.4959345181618425,0.0,
18,accommodation-and-food-services,Accommodation and Food Services,primary,0.9999768852366007,True,True,False,1,community-and-social-service-occupations,330.0,2.3114763399383187e-05,0.00029455387131280795,0.3726879183971246,0.3726879183971246,0.0,
19,other-services-except-public-administration,"Other Services, Except Public Administration",limited,1.0,True,True,True,0,,0.0,0.0,0.0,0.35075148272339257,0.35075148272339257,0.0,
20,public-administration,Public Administration,excluded,1.0,True,True,True,0,,0.0,0.0,0.0,0.33764097420564504,0.33764097420564504,0.0,
