metric,median_pairwise_rank_corr,min_pairwise,max_pairwise,median_consecutive,endpoint,entity_type
A,0.8466165413533835,0.6240601503759399,0.9172932330827067,0.8676691729323308,0.6240601503759399,industry
H,0.5984962406015037,0.3037593984962406,0.8105263157894737,0.5984962406015037,0.5804511278195489,industry
S,0.6781954887218045,0.3924812030075188,0.8120300751879699,0.6571428571428571,0.43759398496240604,industry
A,0.7876905702992659,0.4308300395256917,0.9107848673066065,0.8402032749858837,0.7876905702992659,occupation
H,0.5607001693958216,0.1383399209486166,0.83399209486166,0.45736871823828346,0.6725014116318464,occupation
S,0.6386222473178995,0.40372670807453415,0.8328627893845285,0.6736307171089779,0.55957086391869,occupation
